stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0481941,,0.0294842,0.0481941,0.6692373,0.6692373,0.6990292,0.9836433,1.3818589,right,10,1,1,0.6168175,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
1,2,8,1.3998036,,1.3819811,1.3998036,1.8849274,1.8849274,1.9014405,2.1850212,2.4246905,right,8,1,1,0.5351663,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
2,2,6,2.4349568,,2.4248092,2.4349568,2.9382797,2.9382797,2.9382797,3.2527741,3.5242659,left,-6,1,1,0.5756857,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
3,2,4,3.53608,,3.5243639,3.53608,4.0370337,4.0370337,4.0370337,4.3371937,4.5441549,right,4,1,1,0.5009896,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
4,1,2,4.5538511,,4.5442914,4.5538511,5.055429,5.055429,5.055429,5.3547895,5.6277307,right,2,0,0,0.5614693,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
5,1,3,5.6385454,,5.6278583,5.6385454,6.1393187,6.1393187,6.1393187,6.4395892,6.7153169,left,-3,1,1,0.5686775,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
6,1,3,6.7388138,,6.7154534,6.7388138,7.2239009,7.2239009,7.2403642,7.5245695,7.7663338,right,3,1,1,0.526577,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
7,1,3,7.7900159,,7.7665222,7.7900159,8.2906695,8.2906695,8.3081414,8.5920204,8.8152026,left,-3,1,1,0.5195912,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
8,1,2,8.8252148,,8.8153378,8.8252148,9.3260372,9.3260372,9.3260372,9.6263668,9.8501043,left,-2,1,1,0.5127692,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
9,1,2,9.8596094,,9.8502272,9.8596094,10.3770179,10.3770179,10.3770179,10.6775368,10.9869201,right,2,1,1,0.5927319,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
10,0.5,2,11.0100888,,10.9870662,11.0100888,11.4952002,11.4952002,11.5118827,11.7954129,13.1199679,right,2,0,0,1.6113981,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
11,0.5,2.5,13.1299235,,13.1200885,13.1299235,13.6309271,13.6309271,13.6309271,13.9312185,14.3575122,left,-2.5,0,0,0.7200865,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
12,0.5,3,14.3809287,,14.3576714,14.3809287,14.8651554,14.8651554,14.8826451,15.1656908,15.4742388,right,3,1,1,0.5973228,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
13,0.5,3,15.4984072,,15.4744577,15.4984072,15.9831163,15.9831163,16.0001101,16.2832461,16.6068331,left,-3,1,1,0.6103677,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
14,0.5,3,16.6171608,,16.606951,16.6171608,17.1180221,17.1180221,17.1180221,17.4181005,17.692585,left,-3,1,1,0.5699967,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
15,0.5,2.5,17.7016377,,17.692721,17.7016377,18.2024738,18.2024738,18.2024738,18.5027402,18.693945,left,-2.5,1,1,0.4875154,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
16,0.5,2.5,18.7030325,,18.6941033,18.7030325,19.2036554,19.2036554,19.2036554,19.503889,19.7440912,left,-2.5,1,1,0.5271433,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
17,0.5,2.5,19.7537475,,19.7442663,19.7537475,20.2546804,20.2546804,20.2546804,20.5550402,20.7110349,left,-2.5,1,1,0.4505054,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
18,0.5,2,20.7215307,,20.7111869,20.7215307,21.2226019,21.2226019,21.2226019,21.5226328,21.6961033,left,-2,1,1,0.4600947,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
19,0.5,2,21.7061702,,21.6962736,21.7061702,22.2069638,22.2069638,22.2069638,22.5069273,22.6972638,right,2,1,1,0.4778645,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
20,0.5,2,22.7071485,,22.6973771,22.7071485,23.2083102,23.2083102,23.2083102,23.5082249,23.7992865,right,2,0,0,0.5877247,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
21,0.5,2.5,23.8085259,,23.7994767,23.8085259,24.3093155,24.3093155,24.3093155,24.6093177,24.7831477,right,2.5,1,1,0.4655571,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
22,0.5,2.5,24.7927846,,24.7832688,24.7927846,25.2935985,25.2935985,25.2935985,25.5939265,25.9350788,left,-2.5,1,1,0.6374106,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
23,0.5,2.5,25.943944,,25.9352454,25.943944,26.4447808,26.4447808,26.4447808,26.7449799,27.2201825,left,-2.5,0,0,0.7709835,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
24,0.5,3,27.2287616,,27.2203061,27.2287616,27.7298397,27.7298397,27.7298397,28.0301105,29.3230751,left,-3,1,1,1.5837319,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
25,0.5,3,29.3468686,,29.3232304,29.3468686,29.8321299,29.8321299,29.8486399,30.1321476,30.5085151,right,3,1,1,0.6661017,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
26,0.5,3,30.5314584,,30.5086781,30.5314584,31.0163936,31.0163936,31.0330799,31.3167001,31.576741,right,3,1,1,0.5514849,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
27,0.5,2.5,31.5993107,,31.5769748,31.5993107,32.0844099,32.0844099,32.1013036,32.3846704,32.5266637,right,2.5,1,1,0.4344998,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
28,0.5,2.5,32.534931,,32.5268257,32.534931,33.0353309,33.0353309,33.0353309,33.335582,33.4586881,right,2.5,1,1,0.4125404,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
29,0.5,2.5,33.4689548,,33.4588274,33.4689548,33.9695949,33.9695949,33.9695949,34.2698371,34.4123353,right,2.5,1,1,0.441018,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
30,0.5,2,34.4357598,,34.4125081,34.4357598,34.921124,34.921124,34.9531732,35.2209394,35.5144382,left,-2,1,1,0.5846648,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
31,0.5,2,35.5371042,,35.5146139,35.5371042,36.0379038,36.0379038,36.0554253,36.3387858,36.7796976,left,-2,1,1,0.732551,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
32,0.5,2,36.7891277,,36.7798184,36.7891277,37.2899391,37.2899391,37.2899391,37.5902682,38.0646623,left,-2,1,1,0.7655639,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
33,0.5,1.5,38.0737704,,38.0647877,38.0737704,38.575166,38.575166,38.575166,38.8747158,39.1512606,left,-1.5,1,1,0.5738034,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
34,0.5,1.5,39.1742076,,39.1513924,39.1742076,39.6596444,39.6596444,39.6761267,39.9595638,40.1354935,left,-1.5,1,1,0.4657248,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
35,0.5,1.5,40.15869,,40.1356488,40.15869,40.6595915,40.6595915,40.6771301,40.9776104,41.3860511,right,1.5,1,1,0.7091265,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
36,0.5,1,41.3944935,,41.3862221,41.3944935,41.9110152,41.9110152,41.9110152,42.2121293,44.1057972,left,-1,1,1,2.1799047,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
37,0.5,1,44.1144586,,44.106004,44.1144586,44.6149562,44.6149562,44.6149562,44.9151096,46.1758819,right,1,0,0,1.5591212,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
38,0.5,1.5,46.1986937,,46.1760581,46.1986937,46.6836943,46.6836943,46.700438,46.9839454,47.3759071,left,-1.5,1,1,0.678546,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
39,0.5,1.5,47.3845684,,47.3760605,47.3845684,47.8850361,47.8850361,47.8850361,48.1853461,48.4949746,left,-1.5,1,1,0.5953659,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
40,0.5,1.5,48.5178526,,48.4951411,48.5178526,49.0192997,49.0192997,49.0367864,49.319884,49.4954978,left,-1.5,1,1,0.4663105,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
41,0.5,1,49.5190674,,49.4957216,49.5190674,50.0037563,50.0037563,50.0208573,50.304172,50.4458537,right,1,0,0,0.4253108,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
42,0.5,1.5,50.454116,,50.4459945,50.454116,50.9552559,50.9552559,50.9552559,51.2551604,51.5133768,right,1.5,0,0,0.5480398,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
43,0.5,2,51.5222826,,51.5135203,51.5222826,52.0235517,52.0235517,52.0235517,52.3231131,52.4648621,left,-2,1,1,0.4259853,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
44,0.5,2,52.4888529,,52.4650125,52.4888529,52.9739074,52.9739074,52.990915,53.2741192,53.5455237,left,-2,1,1,0.5658549,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
45,0.5,2,53.5575359,,53.5456127,53.5575359,54.076157,54.076157,54.076157,54.3751083,54.5825017,right,2,0,0,0.5006699,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
46,0.5,2.5,54.5920671,,54.5826289,54.5920671,55.0927011,55.0927011,55.0927011,55.3932944,55.867416,right,2.5,1,1,0.7692627,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
47,0.5,2.5,55.8772471,,55.8675304,55.8772471,56.3780603,56.3780603,56.3780603,56.6784112,57.1022108,left,-2.5,1,1,0.7179756,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
48,0.5,2.5,57.111902,,57.1023298,57.111902,57.6123433,57.6123433,57.6123433,57.9122984,58.0685078,right,2.5,1,1,0.4450839,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
49,0.5,2,58.0791711,,58.0686179,58.0791711,58.5800265,58.5800265,58.5800265,58.8801015,59.1194289,left,-2,1,1,0.5335698,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
50,0.5,2,59.1308588,,59.1195342,59.1308588,59.6311524,59.6311524,59.6311524,59.931647,60.4073217,left,-2,1,1,0.7686653,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
51,0.5,2,60.4312268,,60.4074581,60.4312268,60.9158123,60.9158123,60.9332274,61.2159495,61.6398609,left,-2,0,0,0.7086966,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
52,0.5,2.5,61.649852,,61.6400388,61.649852,62.1506103,62.1506103,62.1506103,62.4507522,63.0594458,left,-2.5,1,1,0.8923133,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
53,0.5,2.5,63.0680595,,63.0596013,63.0680595,63.5688571,63.5688571,63.5688571,63.8689748,64.1457066,left,-2.5,0,0,0.5727421,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
54,0.5,3,64.1687631,,64.1458458,64.1687631,64.6531552,64.6531552,64.66981,64.9535273,65.7308234,left,-3,0,0,1.0759967,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
55,0.5,3.5,65.7533363,,65.7309688,65.7533363,66.2383341,66.2383341,66.2551078,66.538599,67.1480418,right,3.5,1,1,0.906846,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
56,0.5,3.5,67.1716317,,67.1482371,67.1716317,67.657064,67.657064,67.6733032,67.9570183,68.3668341,right,3.5,1,1,0.6953733,158437,1,2024-09-11_12h38.44.557,adaptive_staircase_exp,2024.1.5,None,2024-09-11 12h38.51.772500 +0530
