delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,400,unexp,0,0,0,0,0.07108410005457699,,0.05962450010702014,0.07108410005457699,1.0221508000977337,1.0221508000977337,1.072809300152585,2.4978333001490682,space,1.4609991998877376,None,2.5009437000844628,2.607975266703094,2.956956700189039,2.913236200110987,2.9132875001523644,2.956956700189039,2.956956700189039,2.956956700189039,6.42171090003103,400,1,[3.504686899948865],[3.5047142999246716],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.7,1000,exp,0,1,1,8,6.444552200147882,,6.427030000137165,6.444552200147882,7.429614400025457,7.429614400025457,7.44650960015133,7.955601500114426,space,0.5154499998316169,None,7.956776600098237,8.664865566712495,9.014078000094742,8.97187600005418,8.971943500218913,9.014078000094742,9.014078000094742,9.014078000094742,11.0558241000399,400,1,[2.08126650005579],[2.0812776000238955],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.1,1000,exp,0,2,2,9,11.067139600170776,,11.057237200206146,11.067139600170776,12.068200200097635,12.068200200097635,12.068200200097635,14.146100900135934,space,2.0726512998808175,None,14.14733160007745,14.255420866717275,14.603041700087488,14.562381100142375,14.562416000058874,14.603041700087488,14.603041700087488,14.603041700087488,16.850346700055525,100,1,[2.2855742999818176],[2.2855970000382513],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.1,1000,exp,0,3,3,3,16.874450400006026,,16.853178900200874,16.874450400006026,17.857531000161543,17.857531000161543,17.8746797000058,18.63018080010079,space,0.7608331001829356,None,18.631325700087473,18.741987366757044,19.09267790010199,19.05184130021371,19.051891200011596,19.09267790010199,19.09267790010199,19.09267790010199,20.568499900167808,100,1,[1.514039599802345],[1.514053599908948],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.7,400,unexp,0,4,4,2,20.5932662000414,,20.5703713002149,20.5932662000414,21.57846560003236,21.57846560003236,21.595314900157973,22.222453200025484,space,0.6371761001646519,None,22.22367800003849,22.930134166792655,23.262756700161844,23.23300680005923,23.233063400024548,23.262756700161844,23.262756700161844,23.262756700161844,25.324885900132358,400,1,[2.0890377000905573],[2.0890593000221997],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.7,1000,exp,0,5,5,5,25.349233700195327,,25.32743290020153,25.349233700195327,26.333676400128752,26.333676400128752,26.350393900182098,26.90882940008305,space,0.56387780001387,None,26.909951000008732,27.61845146684597,27.968261000001803,27.926483600167558,27.92653390020132,27.968261000001803,27.968261000001803,27.968261000001803,30.21061040018685,400,1,[2.28133050003089],[2.2813444999046624],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.4,1000,exp,0,6,6,7,30.22125590010546,,30.212634700117633,30.22125590010546,31.222493100212887,31.222493100212887,31.222493100212887,31.7941349002067,space,0.558998900000006,None,31.794744700193405,32.2066842667448,32.53970670001581,32.51329300017096,32.51334669999778,32.53970670001581,32.53970670001581,32.53970670001581,34.30074980016798,100,1,[1.7846021999139339],[1.784620099933818],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.4,1000,exp,0,7,7,4,34.324918900150806,,34.30293740006164,34.324918900150806,35.32604980003089,35.32604980003089,35.34379440010525,35.86835190001875,space,0.534707099897787,None,35.86939790006727,36.27794596675473,36.62866020016372,36.587858100188896,36.58790830010548,36.62866020016372,36.62866020016372,36.62866020016372,38.2396432000678,100,1,[1.6486490999814123],[1.6486714000348002],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.7,1000,exp,0,8,8,11,38.262831000145525,,38.243251900188625,38.262831000145525,39.2477041000966,39.2477041000966,39.26444110018201,39.75467270007357,space,0.4948791000060737,None,39.75585130020045,40.46586226678143,40.79838050017133,40.768964800052345,40.768992700148374,40.79838050017133,40.79838050017133,40.79838050017133,43.6239716000855,700,1,[2.853284199954942],[2.8532950000371784],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.4,400,unexp,0,9,9,1,43.63602810003795,,43.62528040003963,43.63602810003795,44.63732270011678,44.63732270011678,44.63732270011678,45.27854460012168,space,0.6093040001578629,None,45.279714200180024,45.68833976687553,46.03817990003154,45.995837500086054,45.995889000128955,46.03817990003154,46.03817990003154,46.03817990003154,48.567691300064325,700,1,[2.569078699918464],[2.5690949000418186],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.4,1000,exp,0,10,10,10,48.590784600004554,,48.569571000058204,48.590784600004554,49.59174170019105,49.59174170019105,49.609507700195536,50.86980880005285,space,1.2693225999828428,None,50.87094000005163,51.27773736679616,51.62839590013027,51.585098900133744,51.58515070006251,51.62839590013027,51.62839590013027,51.62839590013027,54.62072930019349,400,1,[3.0330735000316054],[3.0330852998886257],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
0.1,1000,exp,0,11,11,6,54.63107870006934,,54.6221595001407,54.63107870006934,55.63284380012192,55.63284380012192,55.63284380012192,56.18987640016712,space,0.5428190999664366,None,56.190755600109696,56.29990936682249,56.64990010019392,56.60907410015352,56.60912220017053,56.64990010019392,56.64990010019392,56.64990010019392,58.71163590019569,400,1,[2.099546100012958],[2.0995637997984886],754882,001,2024-11-14_20h38.51.146,intentional_binding_exp,2024.1.5,None,2024-11-14 20h38.58.927232 +0530,
