stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.017963399877771735,0.029408599948510528,10.012064799899235,,,,,,,,,,,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
capecoty,vvrl,n,0,0,0,1,10.039401300018653,,,,,10.029928999952972,10.039401300018653,10.525767300045118,10.525767300045118,10.54181470000185,11.224679299863055,n,1,0.658633999992162,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
cafeteria  ,control,y,0,1,1,10,11.258087700000033,,,,,11.227641399949789,11.258087700000033,11.725835199933499,11.725835199933499,11.759667899925262,14.918275299947709,y,1,3.190351099940017,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
veteran  ,control,y,0,2,2,16,14.944529899861664,,,,,14.919811700005084,14.944529899861664,15.445840300060809,15.445840300060809,15.464343999978155,16.636390700004995,y,1,1.1794333001598716,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
moderate  ,control,y,0,3,3,30,16.66348319989629,,,,,16.637593399966136,16.66348319989629,17.16415259987116,17.16415259987116,17.182124600047246,18.13878110004589,y,1,0.9551345000509173,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
eluberate,vvrl,n,0,4,4,33,18.165795299923047,,,,,18.13964459998533,18.165795299923047,18.65018290001899,18.65018290001899,18.66683469992131,19.43791879992932,n,1,0.7662335000932217,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
modurite,vvrl,n,0,5,5,31,19.452284599887207,,,,,19.438537599984556,19.452284599887207,19.95205459999852,19.95205459999852,19.95205459999852,20.75595030002296,n,1,0.7815839000977576,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
basude,vvrl,n,0,6,6,5,20.769701999844983,,,,,20.75656310003251,20.769701999844983,21.269541299901903,21.269541299901903,21.269541299901903,21.974133499898016,n,1,0.6880328000988811,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
benefit  ,control,y,0,7,7,20,21.98813369986601,,,,,21.974872099934146,21.98813369986601,22.48853849992156,22.48853849992156,22.48853849992156,23.743966500042006,y,1,1.2502631000243127,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
grateful  ,control,y,0,8,8,18,23.771403399994597,,,,,23.745210399851203,23.771403399994597,24.27188070002012,24.27188070002012,24.29068319988437,24.961565299890935,y,1,0.6790329001378268,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
academy  ,control,y,0,9,9,26,24.97408670000732,,,,,24.962186299962923,24.97408670000732,25.4900614998769,25.4900614998769,25.4900614998769,26.111973999999464,y,1,0.5998982999008149,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
cerdenal,vvrl,n,0,10,10,29,26.126491999952123,,,,,26.112564199836925,26.126491999952123,26.62687539984472,26.62687539984472,26.62687539984472,28.002701999852434,n,1,1.3601279999129474,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
edatur,vvrl,n,0,11,11,35,28.026108699850738,,,,,28.004324399866164,28.026108699850738,28.528756299987435,28.528756299987435,28.528756299987435,29.903045099927112,n,1,1.3666123999282718,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
opuritor,vvrl,n,0,12,12,23,29.928163799922913,,,,,29.904368999879807,29.928163799922913,30.412974799983203,30.412974799983203,30.429881299845874,31.158694999990985,n,1,0.7383421999402344,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
editor  ,control,y,0,13,13,34,31.17956359987147,,,,,31.159485599957407,31.17956359987147,31.664354200009257,31.664354200009257,31.681077499873936,32.80531369987875,y,1,1.1331990999169648,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
resadunt,vvrl,n,0,14,14,3,32.830977799836546,,,,,32.80620540003292,32.830977799836546,33.31779919983819,33.31779919983819,33.33339799987152,34.18981619994156,n,1,0.8557353999931365,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
benafot,vvrl,n,0,15,15,21,34.215961299836636,,,,,34.190656000049785,34.215961299836636,34.717053700005636,34.717053700005636,34.75014379993081,35.59606989985332,n,1,0.8505161998327821,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
camera  ,control,y,0,16,16,6,35.617641899967566,,,,,35.596757099963725,35.617641899967566,36.10347980004735,36.10347980004735,36.119655600050464,36.97772389999591,y,1,0.8642660002224147,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
capacity  ,control,y,0,17,17,0,37.00288299983367,,,,,36.97896900004707,37.00288299983367,37.48747399984859,37.48747399984859,37.50395779986866,38.410548500018194,y,1,0.9073612000793219,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
resident  ,control,y,0,18,18,2,38.42201939993538,,,,,38.41118369996548,38.42201939993538,38.93813250004314,38.93813250004314,38.93813250004314,39.997837899951264,y,1,1.0338503001257777,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
regular  ,control,y,0,19,19,12,40.02256189985201,,,,,39.99909429997206,40.02256189985201,40.50811429996975,40.50811429996975,40.525191499851644,41.15158810000867,y,1,0.6249619000591338,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
anemol,vvrl,n,0,20,20,9,41.17394239990972,,,,,41.15308279986493,41.17394239990972,41.67450680001639,41.67450680001639,41.69314959994517,42.36849069991149,n,1,0.6856649999972433,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
capotel,vvrl,n,0,21,21,15,42.39179329993203,,,,,42.369669900042936,42.39179329993203,42.89240949996747,42.89240949996747,42.91097129997797,43.57046049996279,n,1,0.6678636001888663,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
cardinal  ,control,y,0,22,22,28,43.593340300023556,,,,,43.571938999928534,43.593340300023556,44.09565029991791,44.09565029991791,44.09565029991791,45.154436100041494,y,1,1.0526812002062798,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
cimura,vvrl,n,0,23,23,7,45.17816079990007,,,,,45.15511119994335,45.17816079990007,45.678828299976885,45.678828299976885,45.69740940001793,46.90237280004658,n,1,1.2096168999560177,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
operator  ,control,y,0,24,24,22,46.91596470004879,,,,,46.90320199984126,46.91596470004879,47.41503180004656,47.41503180004656,47.41503180004656,48.12290379987098,y,1,0.697567299939692,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
porint,vvrl,n,0,25,25,25,48.14785519987345,,,,,48.12356880004518,48.14785519987345,48.632771000033244,48.632771000033244,48.64975109999068,49.390482399845496,n,1,0.7448651001323014,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
sontament,vvrl,n,0,26,26,39,49.41612319997512,,,,,49.39131539990194,49.41612319997512,49.90081180003472,49.90081180003472,49.91818639985286,50.89080419996753,n,1,0.9739761999808252,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
liborul,vvrl,n,0,27,27,37,50.90314479987137,,,,,50.89139939984307,50.90314479987137,51.40304269990884,51.40304269990884,51.40304269990884,52.19061549985781,n,1,0.7818907001055777,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
beside  ,control,y,0,28,28,4,52.204080699943006,,,,,52.19122350006364,52.204080699943006,52.70413640001789,52.70413640001789,52.70413640001789,53.64200309989974,y,1,0.9267424999270588,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
capital  ,control,y,0,29,29,14,53.65608570002951,,,,,53.64260799996555,53.65608570002951,54.156226699939,54.156226699939,54.156226699939,54.88093429990113,y,1,0.7188172000460327,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
acidomy,vvrl,n,0,30,30,27,54.905972599983215,,,,,54.8815961999353,54.905972599983215,55.40652099996805,55.40652099996805,55.42374649993144,56.062332100002095,n,1,0.6427027999889106,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
regolir,vvrl,n,0,31,31,13,56.090099199907854,,,,,56.063627699855715,56.090099199907854,56.57539929985069,56.57539929985069,56.59150310000405,57.34997099987231,n,1,0.7418932998552918,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
grotiful,vvrl,n,0,32,32,19,57.37463840004057,,,,,57.35128469998017,57.37463840004057,57.87527969991788,57.87527969991788,57.893095599953085,58.419733999995515,n,1,0.5370721998624504,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
elaborate  ,control,y,0,33,33,32,58.44266619998962,,,,,58.421134300064296,58.44266619998962,58.94308319990523,58.94308319990523,58.97695009992458,59.838245099876076,y,1,0.8883305999916047,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
animal  ,control,y,0,34,34,8,59.86122149997391,,,,,59.83886619983241,59.86122149997391,60.34659249987453,60.34659249987453,60.364071199903265,61.06854679994285,y,1,0.7159758000634611,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
liberal  ,control,y,0,35,35,36,61.0957956998609,,,,,61.06985029997304,61.0957956998609,61.59616209985688,61.59616209985688,61.61437810002826,62.237158899893984,y,1,0.6354322000406682,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
sentiment  ,control,y,0,36,36,38,62.26360569987446,,,,,62.2384506999515,62.26360569987446,62.749692799989134,62.749692799989134,62.76557970000431,63.39347149990499,y,1,0.6249647000804543,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
parent  ,control,y,0,37,37,24,63.41477150004357,,,,,63.39517889986746,63.41477150004357,63.916896800044924,63.916896800044924,63.916896800044924,64.49286490003578,y,1,0.5589501999784261,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
veturin,vvrl,n,0,38,38,17,64.516480299877,,,,,64.49427609983832,64.516480299877,65.00042339996435,65.00042339996435,65.01756469998509,65.62629479984753,n,1,0.5985065000131726,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
cifuteria,vvrl,n,0,39,39,11,65.65066120005213,,,,,65.62759070005268,65.65066120005213,66.13517519994639,66.13517519994639,66.15183830005117,66.87813319987617,n,1,0.7198242000304163,None,,,,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
,,,,,,,,,,,,,,,,,,,,,,66.87905150000006,66.90176769997925,71.88144519994967,priyam,2024-12-02_19h26.52.081,solo_project,2024.1.5,None,2024-12-02 19h27.08.289759 +0530,
