stimulus,condition,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,0.0274155,0.0401413,10.0083871,,,,,,,,,,,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
dacede,vvtl,n,0,0,0,39,10.0493805,,,,,10.0315743,10.0493805,10.5167548,10.5167548,10.5688523,11.1847125,n,1,0.6427113,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
quality  ,control,y,0,1,1,0,11.2006062,,,,,11.1862372,11.2006062,11.701299,11.701299,11.7199492,12.29547,y,1,0.584577,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
catogery,vvtl,n,0,2,2,17,12.3189,,,,,12.296537,12.3189,12.8209856,12.8209856,12.8209856,13.6475475,n,1,0.8178366,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
stolen  ,control,y,0,3,3,30,13.6699395,,,,,13.6487763,13.6699395,14.170673,14.170673,14.1893184,14.814371,y,1,0.637787,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
resume  ,control,y,0,4,4,8,14.8384112,,,,,14.8156081,14.8384112,15.3401849,15.3401849,15.3401849,15.8474802,y,1,0.4912619,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
comedy  ,control,y,0,5,5,34,15.8725167,,,,,15.8486837,15.8725167,16.3589752,16.3589752,16.3900389,17.0171458,y,1,0.6415281,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
delacite,vvtl,n,0,6,6,29,17.0404873,,,,,17.0183504,17.0404873,17.5426457,17.5426457,17.5426457,18.1186307,n,1,0.5679501,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
quilaty,vvtl,n,0,7,7,1,18.1417005,,,,,18.1198374,18.1417005,18.6270861,18.6270861,18.6444174,19.3693754,n,1,0.7385976,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
advosiry,vvtl,n,0,8,8,23,19.3922607,,,,,19.3706384,19.3922607,19.894181,19.894181,19.9120309,20.5874206,n,1,0.6886706,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
validity  ,control,y,0,9,9,26,20.6110937,,,,,20.5886244,20.6110937,21.1133156,21.1133156,21.1133156,22.0061633,y,1,0.8806208,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
ceremony  ,control,y,0,10,10,18,22.0293465,,,,,22.0073826,22.0293465,22.5301597,22.5301597,22.5489174,23.2072587,y,1,0.6700586,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
propasol,vvtl,n,0,11,11,7,23.23054,,,,,23.2084826,23.23054,23.7311326,23.7311326,23.7498773,24.3258071,n,1,0.5910736,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
decade  ,control,y,0,12,12,38,24.3483497,,,,,24.3272524,24.3483497,24.834368,24.834368,24.8661418,25.9585471,y,1,1.1150131,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
mistake  ,control,y,0,13,13,36,25.9838263,,,,,25.9597515,25.9838263,26.4694218,26.4694218,26.5007986,27.0092835,y,1,0.5110571,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
category  ,control,y,0,14,14,16,27.0348717,,,,,27.0104928,27.0348717,27.5352531,27.5352531,27.5539039,28.0606473,y,1,0.4943145,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
delicate  ,control,y,0,15,15,28,28.0860044,,,,,28.0618588,28.0860044,28.5865723,28.5865723,28.6048823,29.3473583,y,1,0.7421713,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
ceromeny,vvtl,n,0,16,16,19,29.3705956,,,,,29.3485645,29.3705956,29.871267,29.871267,29.8897946,30.6655455,n,1,0.780436,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
tribute  ,control,y,0,17,17,14,30.6886829,,,,,30.667092,30.6886829,31.1896926,31.1896926,31.2079206,31.8167446,y,1,0.6231375,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
ruseme,vvtl,n,0,18,18,9,31.8399545,,,,,31.8179748,31.8399545,32.3407245,32.3407245,32.3592871,33.066297,n,1,0.7170942,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
marginal  ,control,y,0,19,19,24,33.0914922,,,,,33.0675203,33.0914922,33.5934158,33.5934158,33.5934158,35.1689193,y,1,1.5445479,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
proposal  ,control,y,0,20,20,6,35.1936646,,,,,35.1701743,35.1936646,35.6783272,35.6783272,35.6950468,37.0231534,y,1,1.3418339,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
cemody,vvtl,n,0,21,21,35,37.0454362,,,,,37.0243619,37.0454362,37.5466222,37.5466222,37.5643364,38.3554733,n,1,0.7825924,None,,,,aakash,2024-12-02_19h40.25.591,solo_project,2024.1.5,None,2024-12-02 19h40.41.527882 +0530
