trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03172160000008262,,0.02481860000011693,0.03172160000008262,1.014579600000161,1.0328331000000617,3.8309705000001486,0,up,1,2.803208799999993,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
1,0,1,0,3.8514628000000357,,3.834330900000168,3.8514628000000357,4.83709540000018,4.853794000000107,5.608832900000152,-3,down,1,0.7570276999999805,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
2,0,2,0,5.62123570000017,,5.611186500000031,5.62123570000017,6.622353299999986,6.622353299999986,7.193872700000156,0,up,1,0.5559130999999979,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
3,0,3,0,7.206296500000008,,7.196214199999986,7.206296500000008,8.2074676000002,8.2074676000002,9.02921490000017,0,up,1,0.8119226999999682,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
4,0,4,0,9.041596200000185,,9.031505100000004,9.041596200000185,10.042807000000039,10.042807000000039,10.731081200000062,0,up,1,0.6747098000000733,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
5,0,5,0,10.743480200000022,,10.733448899999985,10.743480200000022,11.74464890000013,11.74464890000013,12.500610300000062,-5,down,1,0.7515338000000611,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
6,0,6,0,12.511929100000089,,12.503407300000163,12.511929100000089,13.513298400000167,13.513298400000167,14.469526400000177,3,down,1,0.9430182999999488,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
7,0,7,0,14.480746800000134,,14.472040800000059,14.480746800000134,15.483111000000008,15.483111000000008,16.323200499999984,0,up,1,0.8230801999998221,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
8,0,8,0,16.34860660000004,,16.3273693000001,16.34860660000004,17.3341676,17.350890000000163,18.256152000000156,3,down,1,0.9202119999999923,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
9,0,9,0,18.268456600000036,,18.258477400000174,18.268456600000036,19.269612400000142,19.269612400000142,19.774416400000064,0,up,1,0.5009413000000222,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
