trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08036110000102781,,0.018074499999784166,5,0.08036110000102781,0.08036110000102781,0.052537300001858966,1.2028572000017448,[0.4533333333333333],[0.23666666666666666],[1],[0],[0],[1.1491445999999996],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
1,0,1,0,1.4488315999988117,,1.210158699999738,10,1.4488315999988117,1.4488315999988117,0.21512479999728384,3.8201215000008233,[-0.0033333333333333335],[-0.37],[1],[0],[0],[2.3953531999977713],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
2,0,2,0,3.917572199999995,,3.8259870000001683,10,3.917572199999995,3.917572199999995,0.057464399997115834,6.756190399999468,[-0.5033333333333333],[-0.31833333333333336],[1],[0],[0],[2.8733362999992096],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
3,0,3,0,6.85450199999832,,6.761909699998796,10,6.85450199999832,6.85450199999832,0.05717179999919608,9.192396499998722,[-0.2816666666666667],[-0.39166666666666666],[1],[0],[0],[2.373960500000976],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
4,0,4,0,9.273548599998321,,9.198234600000433,10,9.273548599998321,9.273548599998321,0.05501939999885508,10.943911800000933,[0.07333333333333333],[-0.4],[1],[0],[0],[1.6912887999969826],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
5,0,5,0,10.991786800001137,,10.949948000001314,5,10.991786800001137,10.991786800001137,0.02855279999857885,12.578693600000406,[0.395],[0.405],[1],[0],[0],[1.6008915999991586],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
6,0,6,0,12.62688469999921,,12.584542199998396,5,12.62688469999921,12.62688469999921,0.029173200000514043,14.24710739999864,[-0.445],[-0.07666666666666666],[1],[0],[0],[1.6340314999979455],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
7,0,7,0,14.312924099998781,,14.252731399999902,5,14.312924099998781,14.312924099998781,0.03990360000170767,16.067061400000966,[-0.37333333333333335],[-0.10166666666666667],[1],[0],[0],[1.7748387999999977],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
8,0,8,0,16.164077800000086,,16.078328100000363,5,16.164077800000086,16.164077800000086,0.04994939999960479,17.135513199998968,[-0.5],[0.14666666666666667],[1],[0],[0],[1.0091924000007566],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
9,0,9,0,17.232743799999298,,17.14151530000163,10,17.232743799999298,17.232743799999298,0.055441099997551646,20.07053409999935,[-0.255],[-0.1],[1],[0],[0],[2.874276099999406],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
10,0,10,0,20.134778799998458,,20.07646549999845,5,20.134778799998458,20.134778799998458,0.02872410000054515,21.18926460000148,[-0.4816666666666667],[-0.38333333333333336],[1],[0],[0],[1.08472079999774],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
11,0,11,0,21.2704158000015,,21.19504489999963,10,21.2704158000015,21.2704158000015,0.054318700000294484,23.140714900000603,[-0.16166666666666665],[0.15166666666666667],[1],[0],[0],[1.8920381999996607],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
12,0,12,0,23.188521000000037,,23.146641600000294,5,23.188521000000037,23.188521000000037,0.02867799999876297,24.761078499999712,[-0.4033333333333333],[-0.4266666666666667],[1],[0],[0],[1.586376700000983],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
13,0,13,0,24.80706149999969,,24.76681969999845,5,24.80706149999969,24.80706149999969,0.02705749999950058,26.162065500000608,[0.5066666666666667],[0.265],[1],[0],[0],[1.3687910999979067],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
14,0,14,0,26.241723700000875,,26.16820960000041,10,26.241723700000875,26.241723700000875,0.053887900001427624,28.04711379999935,[0.34833333333333333],[-0.185],[1],[0],[0],[1.825637400001142],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
15,0,15,0,28.111648900001455,,28.05304260000048,5,28.111648900001455,28.111648900001455,0.03143689999706112,29.480792300000758,[-0.5016666666666667],[0.42333333333333334],[1],[0],[0],[1.396919999999227],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
